,path,file_name,file_size_Mb,last_access,last_modified,created_on
20190528_FFP curls_Shelf 1_PCCM -80C freezer_mk - Copy.xlsx,E:\mk_lab_data\Pooja_Data,20190528_FFP curls_Shelf 1_PCCM -80C freezer_mk - Copy.xlsx,60.577,30 May 2019,21 Sep 2020,21 Sep 2020
Block list from PCCM with date,E:\mk_lab_data\Pooja_Data,Block list from PCCM with date,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Data analysis for TILs_March,E:\mk_lab_data\Pooja_Data,Data analysis for TILs_March,8.192,21 Sep 2020,26 Sep 2020,21 Sep 2020
Excels,E:\mk_lab_data\Pooja_Data,Excels,49.152,21 Sep 2020,26 Sep 2020,21 Sep 2020
FFPE data,E:\mk_lab_data\Pooja_Data,FFPE data,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Score,E:\mk_lab_data\Pooja_Data,Score,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
TILS_Papers,E:\mk_lab_data\Pooja_Data,TILS_Papers,12.288,21 Sep 2020,26 Sep 2020,21 Sep 2020
Western Blot,E:\mk_lab_data\Pooja_Data,Western Blot,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Work update ppt,E:\mk_lab_data\Pooja_Data,Work update ppt,8.192,21 Sep 2020,26 Sep 2020,21 Sep 2020
20180626 TNBC samples for Mayurika-Abhijit-Madhura.docx,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20180626 TNBC samples for Mayurika-Abhijit-Madhura.docx,13.683,09 Jul 2018,21 Sep 2020,21 Sep 2020
20180720 TNBC samples for Mayurika-Abhijit-Madhura.docx,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20180720 TNBC samples for Mayurika-Abhijit-Madhura.docx,14.563,20 Jul 2018,21 Sep 2020,21 Sep 2020
20180831 Biopsy blocks collected for TNBC.pdf,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20180831 Biopsy blocks collected for TNBC.pdf,231.473,18 Oct 2018,21 Sep 2020,21 Sep 2020
20180831_Biopsy Blocks_TNBC_Pooja.docx,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20180831_Biopsy Blocks_TNBC_Pooja.docx,13.215,05 Sep 2018,21 Sep 2020,21 Sep 2020
20181003_Biopsy blocks collected_TNBC_ER.pdf,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20181003_Biopsy blocks collected_TNBC_ER.pdf,211.968,18 Oct 2018,21 Sep 2020,21 Sep 2020
20181113_Biopsy block to collect_ER.pdf,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20181113_Biopsy block to collect_ER.pdf,239.925,03 Dec 2018,21 Sep 2020,21 Sep 2020
20181204_Biopsy Blocks to get_TNBC.docx,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20181204_Biopsy Blocks to get_TNBC.docx,15.485,04 Dec 2018,21 Sep 2020,21 Sep 2020
20190222_Blocks to be collected_ERPR_Pooja.xlsx,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20190222_Blocks to be collected_ERPR_Pooja.xlsx,11428.244,22 Feb 2019,21 Sep 2020,21 Sep 2020
20190222_Blocks to be collected_TNBC_Aditi.xlsx,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20190222_Blocks to be collected_TNBC_Aditi.xlsx,10.313,22 Feb 2019,21 Sep 2020,21 Sep 2020
20190222_Surgery blocks to be collected_HER2_Rutvi.pdf,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20190222_Surgery blocks to be collected_HER2_Rutvi.pdf,352.481,22 Feb 2019,21 Sep 2020,21 Sep 2020
20190401_Blocks to be collected_Benign_Pooja.xlsx,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20190401_Blocks to be collected_Benign_Pooja.xlsx,13.87,01 Apr 2019,21 Sep 2020,21 Sep 2020
20190411_biopsy blocks to bring_TNBC_Dimple.pdf,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20190411_biopsy blocks to bring_TNBC_Dimple.pdf,388.746,14 Jun 2019,21 Sep 2020,21 Sep 2020
20190411_Surgery blocks to bring_TNBC_Dimple.pdf,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20190411_Surgery blocks to bring_TNBC_Dimple.pdf,422.052,14 Jun 2019,21 Sep 2020,21 Sep 2020
20190412_Blocks to be collected_ER_Pooja.xlsx,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20190412_Blocks to be collected_ER_Pooja.xlsx,12.766,23 Jul 2019,21 Sep 2020,21 Sep 2020
20190516_TNBC surgery blocks to be collected_AK.docx,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20190516_TNBC surgery blocks to be collected_AK.docx,13.57,16 May 2019,21 Sep 2020,21 Sep 2020
20190831 Biopsy block to collect_13 HER2 blocks.xlsx,E:\mk_lab_data\Pooja_Data\Block list from PCCM with date,20190831 Biopsy block to collect_13 HER2 blocks.xlsx,12.549,02 Oct 2018,21 Sep 2020,21 Sep 2020
20190220 FFP tissue HnE score sheet - Pooja.xlsx,E:\mk_lab_data\Pooja_Data\Score,20190220 FFP tissue HnE score sheet - Pooja.xlsx,140.613,10 Apr 2019,21 Sep 2020,21 Sep 2020
"20190314_AGLS for ER, TNBC, HER2 data.xlsx",E:\mk_lab_data\Pooja_Data\Work update ppt\PCCM_20190716,"20190314_AGLS for ER, TNBC, HER2 data.xlsx",39.12,14 Mar 2019,21 Sep 2020,21 Sep 2020
20190314_DFS for all breast cancer_PV (2).xlsx,E:\mk_lab_data\Pooja_Data\Work update ppt\PCCM_20190716,20190314_DFS for all breast cancer_PV (2).xlsx,84.372,14 Mar 2019,21 Sep 2020,21 Sep 2020
20190314_DFS for all breast cancer_PV.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,20190314_DFS for all breast cancer_PV.xlsx,83.491,14 Mar 2019,21 Sep 2020,21 Sep 2020
20190314_ER DFS.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,20190314_ER DFS.xlsx,76.793,17 Apr 2019,21 Sep 2020,21 Sep 2020
20190314_HER2 DFS.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,20190314_HER2 DFS.xlsx,80.826,14 Mar 2019,21 Sep 2020,21 Sep 2020
20190314_NACT NO DFS.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,20190314_NACT NO DFS.xlsx,111.757,16 Mar 2019,21 Sep 2020,21 Sep 2020
20190314_NACT YES DFS.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,20190314_NACT YES DFS.xlsx,59.125,14 Mar 2019,21 Sep 2020,21 Sep 2020
20190314_TNBC DFS.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,20190314_TNBC DFS.xlsx,69.724,14 Mar 2019,21 Sep 2020,21 Sep 2020
20190417_Age vs TILs.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,20190417_Age vs TILs.xlsx,61.013,17 Apr 2019,21 Sep 2020,21 Sep 2020
20190417_Grade vs TILs.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,20190417_Grade vs TILs.xlsx,49.822,17 Apr 2019,21 Sep 2020,21 Sep 2020
20190501_HER2_28 patients follow up data_PV.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,20190501_HER2_28 patients follow up data_PV.xlsx,5618.501,01 May 2019,21 Sep 2020,21 Sep 2020
20190501_TNBC_28 patients follow up data_PV.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,20190501_TNBC_28 patients follow up data_PV.xlsx,5618.362,01 May 2019,21 Sep 2020,21 Sep 2020
2019_02_27_pcr_data_required.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,2019_02_27_pcr_data_required.xlsx,11100.278,11 Mar 2019,21 Sep 2020,21 Sep 2020
2019_03_11_pcr_data_required_to_Pooja.xlsx,E:\mk_lab_data\Pooja_Data\Data analysis for TILs_March,2019_03_11_pcr_data_required_to_Pooja.xlsx,9410.686,12 Mar 2019,21 Sep 2020,21 Sep 2020
