,path,file_name,file_size_Mb,last_access,last_modified,created_on
Protein est_stock list and loading patterns,E:\mk_lab_data\SHRUTI\Western Blots,Protein est_stock list and loading patterns,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
SB_ALL-WB_compiled.pptx,E:\mk_lab_data\SHRUTI\Western Blots,SB_ALL-WB_compiled.pptx,5165.402,18 Jul 2019,21 Sep 2020,21 Sep 2020
Shruti_20190619_WB-AR-shCp4-shY-p5-HER2shC-shY-p11,E:\mk_lab_data\SHRUTI\Western Blots,Shruti_20190619_WB-AR-shCp4-shY-p5-HER2shC-shY-p11,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Shruti_20190626-WB-AR-shCp4-shY-p5-HER2shC-shY-p11-RS-HER2shC-shY-p14,E:\mk_lab_data\SHRUTI\Western Blots,Shruti_20190626-WB-AR-shCp4-shY-p5-HER2shC-shY-p11-RS-HER2shC-shY-p14,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Shruti_20190707_WB-RS-HER2shC-shY-p8-p12,E:\mk_lab_data\SHRUTI\Western Blots,Shruti_20190707_WB-RS-HER2shC-shY-p8-p12,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
20190706-Proteins stock.xlsx,E:\mk_lab_data\SHRUTI\Western Blots\Protein est_stock list and loading patterns,20190706-Proteins stock.xlsx,12.804,17 Jul 2019,21 Sep 2020,21 Sep 2020
Protein estimation-SB-WB.xlsx,E:\mk_lab_data\SHRUTI\Western Blots\Protein est_stock list and loading patterns,Protein estimation-SB-WB.xlsx,13.043,26 Jul 2019,21 Sep 2020,21 Sep 2020
SB_ALL-Loading patterns_WB.xlsx,E:\mk_lab_data\SHRUTI\Western Blots\Protein est_stock list and loading patterns,SB_ALL-Loading patterns_WB.xlsx,12.102,18 Jul 2019,21 Sep 2020,21 Sep 2020
Shruti_20190620_YAP,E:\mk_lab_data\SHRUTI\Western Blots\Shruti_20190619_WB-AR-shCp4-shY-p5-HER2shC-shY-p11,Shruti_20190620_YAP,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Shruti_20190621_B-tubulin,E:\mk_lab_data\SHRUTI\Western Blots\Shruti_20190619_WB-AR-shCp4-shY-p5-HER2shC-shY-p11,Shruti_20190621_B-tubulin,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Shruti_20190622-GFP,E:\mk_lab_data\SHRUTI\Western Blots\Shruti_20190619_WB-AR-shCp4-shY-p5-HER2shC-shY-p11,Shruti_20190622-GFP,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
WB-20190619-compiled presentation and details.pptx,E:\mk_lab_data\SHRUTI\Western Blots\Shruti_20190619_WB-AR-shCp4-shY-p5-HER2shC-shY-p11,WB-20190619-compiled presentation and details.pptx,183.516,18 Jul 2019,21 Sep 2020,21 Sep 2020
WB-20190619-Loading pattern.PNG,E:\mk_lab_data\SHRUTI\Western Blots\Shruti_20190619_WB-AR-shCp4-shY-p5-HER2shC-shY-p11,WB-20190619-Loading pattern.PNG,6.161,18 Jul 2019,21 Sep 2020,21 Sep 2020
20190620_Ladder_YAP.tif,E:\mk_lab_data\SHRUTI\Western Blots\Shruti_20190619_WB-AR-shCp4-shY-p5-HER2shC-shY-p11\Shruti_20190620_YAP,20190620_Ladder_YAP.tif,3146.535,22 Jun 2019,21 Sep 2020,21 Sep 2020
