,path,file_name,file_size_Mb,last_access,last_modified,created_on
10a and HMEC-YAP-HER3 WB N1-N7_Roli,E:\mk_lab_data\ROLI DATA,10a and HMEC-YAP-HER3 WB N1-N7_Roli,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
10a and HMEC-YAP-HER3 WB N1-N7_Roli.csv,E:\mk_lab_data\ROLI DATA,10a and HMEC-YAP-HER3 WB N1-N7_Roli.csv,41.571,26 Sep 2020,26 Sep 2020,26 Sep 2020
PCCM footfall and Radiology data_roli,E:\mk_lab_data\ROLI DATA,PCCM footfall and Radiology data_roli,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
PCCM footfall and Radiology data_roli.csv,E:\mk_lab_data\ROLI DATA,PCCM footfall and Radiology data_roli.csv,2.186,26 Sep 2020,26 Sep 2020,26 Sep 2020
PCCM footfall data,E:\mk_lab_data\ROLI DATA,PCCM footfall data,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
PCCM footfall data.csv,E:\mk_lab_data\ROLI DATA,PCCM footfall data.csv,3.262,26 Sep 2020,26 Sep 2020,26 Sep 2020
Roli_misc files,E:\mk_lab_data\ROLI DATA,Roli_misc files,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Roli_misc files.csv,E:\mk_lab_data\ROLI DATA,Roli_misc files.csv,19.063,26 Sep 2020,26 Sep 2020,26 Sep 2020
10a and HMEC-YAP-HER3 WB N1-N7_Roli.pptx,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli,10a and HMEC-YAP-HER3 WB N1-N7_Roli.pptx,1829.33,16 Mar 2020,21 Sep 2020,21 Sep 2020
HMEC WB-YAP-HER3,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli,HMEC WB-YAP-HER3,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
MCF10a WB YAP-HER3,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli,MCF10a WB YAP-HER3,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
20200131_HMEC_WESTERNBLOT1_YAP AND HER3,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3,20200131_HMEC_WESTERNBLOT1_YAP AND HER3,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
20200312_HMEC_WESTERNBLOT7_YAP AND HER3,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3,20200312_HMEC_WESTERNBLOT7_YAP AND HER3,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
20200131_HMEC_WB1_YAP AND HER3.pptx,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3,20200131_HMEC_WB1_YAP AND HER3.pptx,281.431,12 Mar 2020,21 Sep 2020,21 Sep 2020
HMEC_BLOT1_GAPDH,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3,HMEC_BLOT1_GAPDH,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
HMEC_BLOT1_HER3,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3,HMEC_BLOT1_HER3,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
HMEC_BLOT1_YAP,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3,HMEC_BLOT1_YAP,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
20200131  HMEC GAPDH 2 MINUTE.tif,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_GAPDH,20200131  HMEC GAPDH 2 MINUTE.tif,3146.498,31 Jan 2020,21 Sep 2020,21 Sep 2020
20200131_HMEC_GAPDH_5MINUTE.tif,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_GAPDH,20200131_HMEC_GAPDH_5MINUTE.tif,3146.495,31 Jan 2020,21 Sep 2020,21 Sep 2020
20200131_HMEC_GAPDH_LADDER.tif,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_GAPDH,20200131_HMEC_GAPDH_LADDER.tif,3146.534,31 Jan 2020,21 Sep 2020,21 Sep 2020
20200131_HMEC_GAPDH_LADDER_2MIN.tif,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_GAPDH,20200131_HMEC_GAPDH_LADDER_2MIN.tif,3146.538,31 Jan 2020,21 Sep 2020,21 Sep 2020
20200131_HMEC_GAPDH_LADDER_5MIN.tif,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_GAPDH,20200131_HMEC_GAPDH_LADDER_5MIN.tif,3146.535,31 Jan 2020,21 Sep 2020,21 Sep 2020
20200204_HMEC_HER3_10MIN.tif,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_HER3,20200204_HMEC_HER3_10MIN.tif,3146.489,04 Feb 2020,21 Sep 2020,21 Sep 2020
20200204_HMEC_HER3_INCREMENT_30S,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_HER3,20200204_HMEC_HER3_INCREMENT_30S,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
20200204_HMEC_HER3_LADDER.tif,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_HER3,20200204_HMEC_HER3_LADDER.tif,3146.519,03 Feb 2020,21 Sep 2020,21 Sep 2020
20200204_HMEC_HER3_LADDER_2MIN.tif,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_HER3,20200204_HMEC_HER3_LADDER_2MIN.tif,3146.528,04 Feb 2020,21 Sep 2020,21 Sep 2020
20200204_HMEC_HER3_INCREMENT30S_1.tif,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_HER3\20200204_HMEC_HER3_INCREMENT_30S,20200204_HMEC_HER3_INCREMENT30S_1.tif,3146.491,04 Feb 2020,21 Sep 2020,21 Sep 2020
20200204_HMEC_HER3_INCREMENT30S_10.tif,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_HER3\20200204_HMEC_HER3_INCREMENT_30S,20200204_HMEC_HER3_INCREMENT30S_10.tif,3146.493,04 Feb 2020,21 Sep 2020,21 Sep 2020
20200204_HMEC_HER3_INCREMENT30S_11.tif,E:\mk_lab_data\ROLI DATA\10a and HMEC-YAP-HER3 WB N1-N7_Roli\HMEC WB-YAP-HER3\20200131_HMEC_WESTERNBLOT1_YAP AND HER3\HMEC_BLOT1_HER3\20200204_HMEC_HER3_INCREMENT_30S,20200204_HMEC_HER3_INCREMENT30S_11.tif,3146.493,04 Feb 2020,21 Sep 2020,21 Sep 2020
