,path,file_name,file_size_Mb,last_access,last_modified,created_on
.DS_Store,E:\mk_lab_data\Rutvi_Data\Papers\Trastuzumab Mechanism of Action,.DS_Store,6.148,07 Mar 2019,21 Sep 2020,21 Sep 2020
HER2_patient_primary_tissue data_Rutvi,E:\mk_lab_data\Rutvi_Data,HER2_patient_primary_tissue data_Rutvi,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
InSDB2018_IITKanpur,E:\mk_lab_data\Rutvi_Data,InSDB2018_IITKanpur,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
MCF10a_HER2_shControl_shYAP_Rutvi,E:\mk_lab_data\Rutvi_Data,MCF10a_HER2_shControl_shYAP_Rutvi,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Metabric Analysis,E:\mk_lab_data\Rutvi_Data,Metabric Analysis,8.192,21 Sep 2020,26 Sep 2020,21 Sep 2020
Papers,E:\mk_lab_data\Rutvi_Data,Papers,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
FFP Blocks_PCCM_PRIMARY TISSUE_Processing and Scoresheets,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi,FFP Blocks_PCCM_PRIMARY TISSUE_Processing and Scoresheets,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
Files curated by Rutvi,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi,Files curated by Rutvi,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Files received from PCCM,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi,Files received from PCCM,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
HER2 Biopsy Data Analysis,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi,HER2 Biopsy Data Analysis,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
IHC Images,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi,IHC Images,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
SPSS Analysis,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi\HER2 Biopsy Data Analysis,SPSS Analysis,28.672,21 Sep 2020,26 Sep 2020,21 Sep 2020
MK's required format,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi\FFP Blocks_PCCM_PRIMARY TISSUE_Processing and Scoresheets,MK's required format,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Rutvi's format,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi\FFP Blocks_PCCM_PRIMARY TISSUE_Processing and Scoresheets,Rutvi's format,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
20190606_FFPBlocks_PCCM_PRIMARY TISSUE_Scoresheet_AR.xlsx,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi\FFP Blocks_PCCM_PRIMARY TISSUE_Processing and Scoresheets\MK's required format,20190606_FFPBlocks_PCCM_PRIMARY TISSUE_Scoresheet_AR.xlsx,378.839,08 Jun 2019,21 Sep 2020,21 Sep 2020
20190606_FFPBlocks_PCCM_PRIMARY TISSUE_Scoresheet_CD31.xlsx,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi\FFP Blocks_PCCM_PRIMARY TISSUE_Processing and Scoresheets\MK's required format,20190606_FFPBlocks_PCCM_PRIMARY TISSUE_Scoresheet_CD31.xlsx,447.187,08 Jun 2019,21 Sep 2020,21 Sep 2020
20190606_FFPBlocks_PCCM_PRIMARY TISSUE_Scoresheet_HER3.xlsx,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi\FFP Blocks_PCCM_PRIMARY TISSUE_Processing and Scoresheets\MK's required format,20190606_FFPBlocks_PCCM_PRIMARY TISSUE_Scoresheet_HER3.xlsx,446.186,08 Jun 2019,21 Sep 2020,21 Sep 2020
20190606_FFPBlocks_PCCM_PRIMARY TISSUE_Scoresheet_Ki67.xlsx,E:\mk_lab_data\Rutvi_Data\HER2_patient_primary_tissue data_Rutvi\FFP Blocks_PCCM_PRIMARY TISSUE_Processing and Scoresheets\MK's required format,20190606_FFPBlocks_PCCM_PRIMARY TISSUE_Scoresheet_Ki67.xlsx,443.257,08 Jun 2019,21 Sep 2020,21 Sep 2020
