,path,file_name,file_size_Mb,last_access,last_modified,created_on
20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs,20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs,20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
20190621-RT-PCR-GAPDH-YAP-AR-shCshYHER2shCshY-RSp13,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs,20190621-RT-PCR-GAPDH-YAP-AR-shCshYHER2shCshY-RSp13,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
20190709_RT-PCR-HER2shCshY_p8_p12_YAP_GAPDH,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs,20190709_RT-PCR-HER2shCshY_p8_p12_YAP_GAPDH,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
20190709_RT-PCR-YAP_GAPDH-HER2shCshY_p8_p12,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs,20190709_RT-PCR-YAP_GAPDH-HER2shCshY_p8_p12,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
20190716-RNA-cDNA-stock-SB.xlsx,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs,20190716-RNA-cDNA-stock-SB.xlsx,17.004,19 Jul 2019,21 Sep 2020,21 Sep 2020
20190727_RTPCR_YAP_GAPDH-HER2shCshYp8-shCp5-shY1X2Xp7,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs,20190727_RTPCR_YAP_GAPDH-HER2shCshYp8-shCp5-shY1X2Xp7,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
All-RNA Data Compiled.pptx,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs,All-RNA Data Compiled.pptx,145.24,18 Jul 2019,21 Sep 2020,21 Sep 2020
qPCR_Biorad_DataAnalysis_Pg1922.pdf,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs,qPCR_Biorad_DataAnalysis_Pg1922.pdf,814.827,04 Jun 2019,21 Sep 2020,21 Sep 2020
20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HER2ShC_HER2ShY_NOT ANALYZED.xlsx,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HER2ShC_HER2ShY_NOT ANALYZED.xlsx,14.355,17 Jul 2019,21 Sep 2020,21 Sep 2020
20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HER2ShC_HER2ShY_Pilot.prcl,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HER2ShC_HER2ShY_Pilot.prcl,1.349,14 Jun 2019,21 Sep 2020,21 Sep 2020
20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HER2ShC_HER2ShY_Pilot_Analysis.prcl.pcrd,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HER2ShC_HER2ShY_Pilot_Analysis.prcl.pcrd,101.614,14 Jun 2019,21 Sep 2020,21 Sep 2020
QuickPlate_96 wells_All Channels.pltd,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,QuickPlate_96 wells_All Channels.pltd,2.271,14 Jun 2019,21 Sep 2020,21 Sep 2020
Summary doc-20190614-RT-PCR.docx,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190614_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,Summary doc-20190614-RT-PCR.docx,11.579,16 Jul 2019,21 Sep 2020,21 Sep 2020
20190615 curve.png,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,20190615 curve.png,22.568,17 Jun 2019,21 Sep 2020,21 Sep 2020
20190615_Rel normalized exp.png,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,20190615_Rel normalized exp.png,6.279,17 Jun 2019,21 Sep 2020,21 Sep 2020
20190615_RT-PCR_2_ShC_ShY_HER2ShC_HER2ShY.pltd,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,20190615_RT-PCR_2_ShC_ShY_HER2ShC_HER2ShY.pltd,2.298,17 Jun 2019,21 Sep 2020,21 Sep 2020
20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HER2ShC_HER2ShY-Analysis by MK.xlsx,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HER2ShC_HER2ShY-Analysis by MK.xlsx,15.372,17 Jul 2019,21 Sep 2020,21 Sep 2020
20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HER2ShC_HER2ShY.pcrd,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HER2ShC_HER2ShY.pcrd,100.507,17 Jun 2019,21 Sep 2020,21 Sep 2020
Summary doc-20190615-RT-PCR.docx,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190615_RT-PCR_GAPDH_YAP_ShC_ShY_HERShC_HER2ShY-ARcells,Summary doc-20190615-RT-PCR.docx,11.597,16 Jul 2019,21 Sep 2020,21 Sep 2020
20190621_analysis-RT-PCR-GAPDH-YAP-AR-shCshYHER2shCshY-RSp13.xlsx,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190621-RT-PCR-GAPDH-YAP-AR-shCshYHER2shCshY-RSp13,20190621_analysis-RT-PCR-GAPDH-YAP-AR-shCshYHER2shCshY-RSp13.xlsx,21.041,17 Jul 2019,21 Sep 2020,21 Sep 2020
Melt curves.png,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190621-RT-PCR-GAPDH-YAP-AR-shCshYHER2shCshY-RSp13,Melt curves.png,25.474,16 Jul 2019,21 Sep 2020,21 Sep 2020
Plate map.docx,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190709_RT-PCR-YAP_GAPDH-HER2shCshY_p8_p12,Plate map.docx,30.401,09 Jul 2019,21 Sep 2020,21 Sep 2020
QC.png,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190621-RT-PCR-GAPDH-YAP-AR-shCshYHER2shCshY-RSp13,QC.png,27.44,16 Jul 2019,21 Sep 2020,21 Sep 2020
RT_PCR_20190621_ARp11_RSp13.csv,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190621-RT-PCR-GAPDH-YAP-AR-shCshYHER2shCshY-RSp13,RT_PCR_20190621_ARp11_RSp13.csv,7.401,16 Jul 2019,21 Sep 2020,21 Sep 2020
Run info.png,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190621-RT-PCR-GAPDH-YAP-AR-shCshYHER2shCshY-RSp13,Run info.png,6.828,16 Jul 2019,21 Sep 2020,21 Sep 2020
20190709_1.png,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190709_RT-PCR-YAP_GAPDH-HER2shCshY_p8_p12,20190709_1.png,61.537,09 Jul 2019,21 Sep 2020,21 Sep 2020
20190709_2.png,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190709_RT-PCR-YAP_GAPDH-HER2shCshY_p8_p12,20190709_2.png,7.272,09 Jul 2019,21 Sep 2020,21 Sep 2020
20190709_GAPDH_YAP_p8_p12.prcl,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190709_RT-PCR-YAP_GAPDH-HER2shCshY_p8_p12,20190709_GAPDH_YAP_p8_p12.prcl,1.4,09 Jul 2019,21 Sep 2020,21 Sep 2020
20190709_HER2shCshY_p8_p12_YAP_GAPDH_rawdata-NOT ANALYZED.xlsx,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190709_RT-PCR-YAP_GAPDH-HER2shCshY_p8_p12,20190709_HER2shCshY_p8_p12_YAP_GAPDH_rawdata-NOT ANALYZED.xlsx,16.69,16 Jul 2019,21 Sep 2020,21 Sep 2020
admin_2019-07-09 12-42-31_CT003654.pcrd,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190709_RT-PCR-YAP_GAPDH-HER2shCshY_p8_p12,admin_2019-07-09 12-42-31_CT003654.pcrd,328.392,09 Jul 2019,21 Sep 2020,21 Sep 2020
Shruti_qPCR_p8_p12.pltd,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190709_RT-PCR-YAP_GAPDH-HER2shCshY_p8_p12,Shruti_qPCR_p8_p12.pltd,2.246,09 Jul 2019,21 Sep 2020,21 Sep 2020
Summary doc-20190709-RT-PCR.docx,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190709_RT-PCR-YAP_GAPDH-HER2shCshY_p8_p12,Summary doc-20190709-RT-PCR.docx,11.555,16 Jul 2019,21 Sep 2020,21 Sep 2020
20190727_Analysis-qPCR_HER2shC_shYp8_shC_p7_shY1X_2X_p5.xlsx,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190727_RTPCR_YAP_GAPDH-HER2shCshYp8-shCp5-shY1X2Xp7,20190727_Analysis-qPCR_HER2shC_shYp8_shC_p7_shY1X_2X_p5.xlsx,49.926,30 Jul 2019,21 Sep 2020,21 Sep 2020
20190727_qPCR_RFU_cycles.png,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190727_RTPCR_YAP_GAPDH-HER2shCshYp8-shCp5-shY1X2Xp7,20190727_qPCR_RFU_cycles.png,85.349,27 Jul 2019,21 Sep 2020,21 Sep 2020
20190727_qPCR_RFU_cycles_logscale.png,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190727_RTPCR_YAP_GAPDH-HER2shCshYp8-shCp5-shY1X2Xp7,20190727_qPCR_RFU_cycles_logscale.png,82.626,27 Jul 2019,21 Sep 2020,21 Sep 2020
CFX_2stepAmp.prcl,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190727_RTPCR_YAP_GAPDH-HER2shCshYp8-shCp5-shY1X2Xp7,CFX_2stepAmp.prcl,1.371,27 Jul 2019,21 Sep 2020,21 Sep 2020
Runinfo_20190727_qPCR_SB.png,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190727_RTPCR_YAP_GAPDH-HER2shCshYp8-shCp5-shY1X2Xp7,Runinfo_20190727_qPCR_SB.png,6.828,27 Jul 2019,21 Sep 2020,21 Sep 2020
SB_admin_2019-07-27 14-28-06_CT003654.pcrd,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190727_RTPCR_YAP_GAPDH-HER2shCshYp8-shCp5-shY1X2Xp7,SB_admin_2019-07-27 14-28-06_CT003654.pcrd,336.21,27 Jul 2019,21 Sep 2020,21 Sep 2020
Shruti_20190727.pltd,E:\mk_lab_data\SHRUTI\RNA-cDNA-qPCRs\20190727_RTPCR_YAP_GAPDH-HER2shCshYp8-shCp5-shY1X2Xp7,Shruti_20190727.pltd,2.349,27 Jul 2019,21 Sep 2020,21 Sep 2020
